Individual,Block,Strain,Replicate,Cell,Environment,Sex,Focal haplotype,Social haplotype,Mortality,Social Survival,Development time (hrs),Wing size (mm),Day emerged,Hours from lights on,Female offspring,Male offspring,Total female assay,Male red 1,Female red 1,Total red vial 1,Male bw 1,Female bw 1,Total bw vial 1,Proportion red vial 1,Male red 2,Female red 2,Total red vial 2,Male bw 2,Female bw 2,Total bw vial 2,Proportion red vial 2,Total red all vials,Total bw all vials,Proportion red all vials
1,1,Barcelona 1,1,1,1,F,Barcelona,Barcelona,N,L,NA,NA,NA,NA,35,24,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Barcelona 1,1,1,1,M,Barcelona,Barcelona,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
3,1,Brownsville 1,1,2,1,F,Brownsville,Barcelona,N,N,249,NA,10,11,36,45,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Barcelona 1,1,2,1,M,Barcelona,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,14,27,41,0,0,0,0,0,0,0,0,0,41,0
5,1,Dahomey 1,1,3,1,F,Dahomey,Barcelona,N,N,249,NA,10,11,17,23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,Barcelona 1,1,3,1,M,Barcelona,Dahomey,N,N,242,NA,10,4,NA,NA,NA,11,15,26,0,0,0,1,9,7,16,0,0,0,1,42,0,1
7,1,Israel 1,1,4,1,F,Israel,Barcelona,N,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,Barcelona 1,1,4,1,M,Barcelona,Israel,N,N,242,NA,10,4,NA,NA,NA,2,2,4,9,17,26,0.133333333,16,12,28,0,0,0,1,32,26,0.551724138
9,1,Sweden 1,1,5,1,F,Sweden,Barcelona,N,N,NA,NA,NA,NA,7,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,Barcelona 1,1,5,1,M,Barcelona,Sweden,N,N,267,NA,11,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,Barcelona 1,1,6,1,F,Barcelona,Brownsville,P,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,Brownsville 1,1,6,1,M,Brownsville,Barcelona,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
13,1,Brownsville 1,1,7,1,F,Brownsville,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,Brownsville 1,1,7,1,M,Brownsville,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,Dahomey 1,1,8,1,F,Dahomey,Brownsville,N,N,242,NA,10,4,23,31,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,Brownsville 1,1,8,1,M,Brownsville,Dahomey,N,N,245,NA,10,7,NA,NA,NA,0,0,0,23,39,62,0,0,0,0,0,1,1,0,0,63,0
17,1,Israel 1,1,9,1,F,Israel,Brownsville,N,N,243,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,Brownsville 1,1,9,1,M,Brownsville,Israel,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,Sweden 1,1,10,1,F,Sweden,Brownsville,N,L,266,NA,11,4,26,39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,Brownsville 1,1,10,1,M,Brownsville,Sweden,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
21,1,Barcelona 1,1,11,1,F,Barcelona,Dahomey,N,N,NA,NA,NA,NA,8,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,Dahomey 1,1,11,1,M,Dahomey,Barcelona,N,N,267,NA,11,5,NA,NA,NA,5,1,6,13,12,25,0.193548387,2,3,5,0,1,1,0.833333333,11,26,0.297297297
23,1,Brownsville 1,1,12,1,F,Brownsville,Dahomey,N,N,242,NA,10,4,11,22,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,Dahomey 1,1,12,1,M,Dahomey,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,4,6,0,0,0,0,2,5,7,0,0,13,0
25,1,Dahomey 1,1,13,1,F,Dahomey,Dahomey,N,N,265,NA,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,Dahomey 1,1,13,1,M,Dahomey,Dahomey,N,N,NA,NA,NA,NA,NA,NA,NA,35,1,36,0,0,0,1,47,45,92,0,0,0,1,128,0,1
